title,synopsis
Happily N'Ever After,"An alliance of evil-doers, led by Frieda, looks to take over Fairy Tale Land. But when Ella realizes her stepmother is out to ruin her storybook existence, she takes a dramatic turn and blossoms into the leader of the resistance effort."
Omagh,"The movie starts at the 1998 bomb attack by the Real IRA at Omagh, Northern Ireland. The attack killed 31 people. Michael Gallagher one of the relatives of the victims starts an examination to bring the people responsible to court."
Cruel Intentions 2,"After his precocious behavior has gotten him bounced out of one more in a string of exclusive private schools, 16-year old Sebastian Valmont has arrived in New York City to live with his father and stepmother. The cunning and handsome Sebastian may have met his match, however in his equally manipulative and beautiful stepsister Kathryn Merteuil."
Cruel Intentions 3,"Meet Cassie, Jason and Patrick, three amoral college students who, through a series of sexual wagers, take malicious pleasure in ruining the lives of their fellow classmates."
Love Exchange,"Jackie (Holly Sampson) and Ben (Eddie Jay) move into a luxurious new home in the affluent neighborhood of Verdana Hills. They are immediately welcomed and befriended by their sexy new neighbor Lizellee (Monique DeMoan) and invited to a pool party to meet the rest of the neighbors in the complex. After meeting Lizette’s husband Lorenzo (Ben Brown) at the pool gathering, Ben is invited and told about a “sexual card game” that allows everyone in the complex to discard their marital inhibitions. Soon both Jackie and Ben are pulled into a world of swingers and lurid sex that threatens the very fibers of their relationship."
Beowulf,"Beowulf is a wanderer who learns about a man-eating creature called Grendel, which comes in the night to devour warriors trapped at the Outpost. The Outpost is ruled by Hrothgar. He has a daughter, whose husband may have been murdered by the Outpost's master of arms."
Beowulf & Grendel,"The blood-soaked tale of a Norse warrior's battle against the great and murderous troll, Grendel. Heads will roll. Out of allegiance to the King Hrothgar, the much respected Lord of the Danes, Beowulf leads a troop of warriors across the sea to rid a village of the marauding monster."
Animated Epics: Beowulf,Swords fly as Beowulf battles the evil Grendel in this exciting animated adaptation of the epic poem. Incorporating fascinating sketch art and featuring the voice of Joseph Fiennes as Beowulf. found.
"Not Mozart: Letters, Riddles and Writs","Letters, Riddles and Writs is a one act opera for television by Michael Nyman broadcast in 1991."
Neowolf,"When an aspiring rock musician Tony returns to his college town to make up with his estranged girlfriend Rosemary, he finds his life taking an unexpected turn to the dark side when he encounters a mysterious rock band Neowolf led by rocker Vince and the alluring band girl Paula.  When Rosemary's best friend Kevin turns up dead, Rosemary seeks out a nursery owner Mrs. Belakov who knows the secrets of an ancient evil."
Battlefield Earth,"In the year 3000, man is no match for the Psychlos, a greedy, manipulative race of aliens on a quest for ultimate profit. Led by the powerful Terl, the Psychlos are stripping Earth clean of its natural resources, using the broken remnants of humanity as slaves. What is left of the human race has descended into a near primitive state. After being captured, it is up to Tyler to save mankind."
Battlefield Earth: Evolution & Creation,"Travolting (unfortunately I can't take credit for this brilliant insult)!!! One of the worst movies I have ever seen; yet you(might) have to give Travolta credit for sticking it out with this obvious train-wreck, which most likely was quite evident even during the filming. One of the most infuriating things about this movie is the complete lack of any creativity in order to explain the inconsistencies and conflicts of logic in the plot and story, like using 1000 year old weapons and airplanes!; either the creators of this film think that anyone who would watch this movie are completely retarded (which may be true, and that includes me!), or the people who made this movie are freaking delusional- both are obviously true! (by n-reynolds (United States))"
George and the Dragon,"In 12th century England, the handsome and noble knight, George, has left the Crusades behind to follow his dream of a peaceful life on his own piece of land. However, in order to obtain his land from the ruling King Edgaar, he must help find the King's missing daughter, Princess Lunna, a quest which sees George drawn into an unexpected battle with the kingdom's last surviving dragon."
The Fugitive,"Wrongfully convicted of murdering his wife and sentenced to death, Richard Kimble escapes from the law in an attempt to find the real killer and clear his name."
The Ladykillers,Five oddball criminals planning a bank robbery rent rooms on a cul-de-sac from an octogenarian widow under the pretext that they are classical musicians.
Finders Keepers,No overview found.
Finders Keepers,"On the run from the police and a female roller derby team, scam artist Michael Rangeloff steals a coffin and boards a train, pretending to be a soldier bringing home a dead war buddy. He gets more than he bargained for from the train and the coffin."
"Finders, Keepers",No overview found.
Finders Keepers,No overview found.
Finders Keepers,"t's a cold, wet night. But the mob wants their money. The door burst open. A junkie is dead. But the mobsters get their cash-until they lose it again at the bus station where Dino Willingham has picked up his Auntie. Instead of grabbing her bag, he grabs theirs by mistake. The gangsters are furious at their loss and when Dino, his Mother and his Auntie find that they have all that money they are set to shop, and shop large. After spending almost fifty thousand dollars, the mobsters finally track them down-and they are pissed. They kidnap Dino's Mom and Auntie at gun point. Dino is forced to negotiate the return of the money and make certain that his Mom and Auntie are safely returned. They tell him to bring the money with him and his family will be freed. But Dino, worried that they will kill them all when they find much of the money is missing, has another plan."
Finders Keepers,No overview found.
Finders Keepers,Silent military comedy whose only print exists in the Library of Congress.
The Ladykillers,"An eccentric, if not charming Southern professor and his crew pose as a band in order to rob a casino, all under the nose of his unsuspecting landlord – a sharp old woman."
Finders Keepers,"This Vitaphone one-reel short, written by the author of ""Show-Off"", George Kelly"
"Finders Keepers, Lovers Weepers","Paul, the owner of a topless go-go bar on the Sunset Strip, isn't having a good day. His girlfriend, unbeknownst to him, is planning to rob his club, and his wife is having an affair with the hunky bartender."
My Sister's Keeper,"Two sisters take a journey of discovery and reconciliation based on the memoirs of Margaret Moorman. Christine has been diagnosed with schizophrenia and must rely on others for support even though she longs for and independent and ordinary life. When her mother dies, her sister Judy becomes responsible for her care. The two are left to face the struggles of finding common ground."
Finder's Fee,After finding a wallet in the street tepper calls the owner in order to return it. After making the call he discovers that the lottery ticket inside is a $6 million winner. To add to things his friends are on their way over for their weekly poker night & the groups tradition is to bet their lottery ticket.
Her Sister's Keeper,"Kate's life is turned upside down when her younger sister, Melissa, disappears. When Kate investigates, she discovers that a large amount of drug money vanished with her sister."
Sister's Keeper,"Military-trained hitman, Jacob Tate (Kent Faulcon), has been sent by his handler (Eric Roberts) to a small Southern town with orders to eliminate a beautiful English teacher, Diane Shaw (Denise Boutte). When Diane mistakes Jacob for her long-lost brother, he uses the guise to find the perfect moment to kill her, but soon finds himself drawn into her frank and colorful family. Now this professional assassin is left to choose between executing what should be an easy murder-for-hire and trying to solve the mystery of who would want the innocent Diane dead."
Sister's Keeper,No overview found.
A Killing Affair,"A white female detective is partnered with a black male detective to find the person who is committing a series of particularly vicious murders. During the course of the investigation the two begin to develop an attraction to each other, but the situation is complicated by the fact that he is married."
A Killing Affair,"Peter Weller (Robocop) stars as Baton Morris, a drifter suspected of murder, in this crime drama. A widow (Kathy Baker) living in West Virginia takes in the man (Weller) whom she believes murdered her husband. As she spends more time with him, she begins to fall for him, but continues to question whether or not she can trust him.Directed by David Saperstein and based on a novel by Robert Houston, A Killing Affair features twists and turns up until the end."
Dead Weekend,"Set in the ""not-too distant future"", martial law has been declared in The City in leu of a looming earthquake. However, the earthquake is merely a ruse, a story fed to the public so the TWF (True World Forces) can capture an alien spotted over the city some few days earlier. A TWF agent runs into the alien (a *hottie* who can change her appearance, while always remaining - of course - a hottie), and the two go off and, um, compare their respective physiology (yeah, that's it)."
RoboCop,"In a violent, near-apocalyptic Detroit, evil corporation Omni Consumer Products wins a contract from the city government to privatize the police force. To test their crime-eradicating cyborgs, the company leads street cop Alex Murphy into an armed confrontation with crime lord Boddicker so they can use his body to support their untested RoboCop prototype. But when RoboCop learns of the company's nefarious plans, he turns on his masters."
RoboCop 2,"After a successful deployment of the Robocop Law Enforcement unit, OCP sees its goal of urban pacification come closer and closer, but as this develops, a new narcotic known as ""Nuke"" invades the streets led by God-delirious leader Cane. As this menace grows, it may prove to be too much for Murphy to handle. OCP tries to replicate the success of the first unit, but ends up with failed prototypes with suicidal issues... until Dr. Faxx, a scientist straying away from OCP's path, uses Cane as the new subject for the Robocop 2 project, a living God."
RoboCop 3,"The mega corporation Omni Consumer Products is still bent on creating their pet project, Delta City, to replace the rotting city of Detroit. Unfortunately, the inhabitants of the area have no intention of abandoning their homes simply for desires of the company. To this end, OCP have decided to force them to leave by employing a ruthless mercenary army to attack and harass them. An underground resistance begins and in this fight, Robocop must decide where his loyalties lie."
Space Cowboys,"Frank Corvin, ‘Hawk’ Hawkins, Jerry O'Neill and ‘Tank’ Sullivan were hotdog members of Project Daedalus, the Air Force's test program for space travel, but their hopes were dashed in 1958 with the formation of NASA and the use of trained chimps. They blackmail their way into orbit when Russia's mysterious ‘Ikon’ communications satellite's orbit begins to degrade and threatens to crash to Earth."
Bee Movie,"Barry B. Benson, a bee who has just graduated from college, is disillusioned at his lone career choice: making honey. On a special trip outside the hive, Barry's life is saved by Vanessa, a florist in New York City. As their relationship blossoms, he discovers humans actually eat honey, and subsequently decides to sue us."
Testosterone,"Dean has been stumped for some time in his attempt to produce a follow-up to ""I was a Teenage Speed Freak,"" his incredibly successful graphic novel. His fans expect great things from him and his editor, Louise, is hounding him. Instead of working, however, Dean spends his time searching for his Argentine lover Pablo, who went out one night for cigarettes and never came back."
Oaxaca - Zwischen Rebellion und Utopie,No overview found.
Allô police: Retour à l'envoyeur,No overview found.
Alice's Restaurant,A cinematic adaption of Arlo Guthrie's classic song story.
Eve and the Handyman,"Eve is dressed in a long raincoat and follows the handyman around as he makes his appointed rounds. She watches as he has humorous run-ins while cleaning toilets, taking scrap metal to the dump, cleaning windows, delivering a tree, climbing poles, and remaining a gentleman while trying to help a topless hitchhiker. But why is she watching him so carefully?"
Six-Pack,A serial killer is on the loose in Paris and he seems to be an american citizen working in the US embassy and being in the middle of a french-american economical affair.
Erotica,"Exploitation auteur and mammary-enthusiast Russ Meyer directs this lurid journey into female sexuality told in six segments: “Naked Innocence,” “Beauties, Bubbles, and H2O,” “The Bear and the Bare,” “Nudists on the High Seas,” “The Nymphs,” and “The Bikini Busters"
Wild Gals of the Naked West,"An old geezer recalls some of the antics of the men and women of his western town, more wild and woolly than Tombstone or Dodge City. In this town no one is a good shot, the women are hungry for new meat, and practical jokers abound. A stranger strolls into town, proving resistant to the mayhem, and after donning some cowboy duds begins cleaning up that town."
The French Peep Show,"A filmed burlesque show, staged at the El Rey Theater in Oakland, CA."
The Immoral Mr. Teas,"Mr. Teas is a door to door salesman for dentists' appliances. Everywhere he goes he encounters beautiful ""well-developed"" nude women, which of course stir his interest. The only sound in the film is the voice of a narrator and a very monotonic musical theme played on the clarinet or some similar instrument."
Up!,"Up! is a 1976 soft core sex comedy film directed by American filmmaker Russ Meyer. The plot centers around a bizarre murder mystery involving the death of former Nazi Adolf Schwartz, a caricature of Adolf Hitler, who was living in hiding in a Bavarian style castle in Northern California.Kitten Natividad plays the ""Greek Chorus"", who appears nude between scenes throughout the film to provide narration, plot details, and updates."
The James Dean Story,"Released two years after James Dean's death, this documentary chronicles his short life and career via black-and-white still photographs, interviews with the aunt and uncle who raised him, his paternal grandparents, a New York City cabdriver friend, the owner of his favorite Los Angeles restaurant, outtakes from East of Eden, footage of the opening night of Giant, and Dean's ironic PSA for safe driving."
Luther,"During the early 16th Century idealistic German monk Martin Luther, disgusted by the materialism in the church, begins the dialogue that will lead to the Protestant Reformation."
Dairy of Terror,No overview found.
Black Snake,A man searches for his brother on an island where a vicious woman keeps slaves on a plantation.
The Worm Eaters,"Herman Umgar, a German hermit, has an ability to communicate with worms. One day the mayor of the town runs him off his property, so in revenge he plants worms in everybody's food. However, these worms are a special breed of mutant worms from the Red Tide, and when the people eat them they are transformed into giant worms themselves. These worm-people also become Herman's slaves. What will the remaining do?"
Mystery Mansion,Susan and her brother Johnny go to spend the summer with their aunt and uncle where they discover a map that may lead to some sort of treasure. Susan had been having nightmares about a girl (Rachel) who disappeared in a nearby mansion now old and abandoned. Eventually Susan and Johnny along with their cousin Billy begin a quest to find the treasure as well as the answers to Rachel's disappearance. While they are doing this 2 escaped convicts are also looking for the same treasure!
Where's Willie?,"An 8-year old boy invents a hand-held computer which can control any electronic device, and uses it to affect the entire town where he lives."
Baker's Hawk,"When a young boy nurses an injured hawk back to health, he gains newfound courage and confidence on his own."
Cult People,"In interviews, various actors and directors discuss their careers and their involvement in the making of what has come to be known as ""cult"" films. Included are such well-known genre figures as Russ Meyer, Curtis Harrington, Cameron Mitchell and James Karen."
That's Sexploitation,No overview found.
Pandora Peaks,Documentary on famed erotic icon Pandora Peaks. Last film directed by Russ Meyer.
Hollywood Rated 'R',No overview found.
Trancers,"Angel City trooper Jack Deth is sent back in time from 2247 to 1985 L.A. to inhabit the body of his ancestor. Deth's assignment is to find his archenemy, Whistler, who turns people into zombies, before the fiend is able to kill all the ancestors of the future's governing council."
The Wrong Guys,Five former cub scouts have a reunion and go camping on the mountain they never conquered. High jinks ensue due to their childhood enemies and a group of escaped convicts who mistake them for an FBI unit.
"Elvira, Mistress of the Dark","When her great aunt dies, famed horror hostess Elvira heads for the uptight new England town of Falwell to claim her inheritance of a haunted house, a witch's cookbook and a punk rock poodle. But once the stuffy locals get an eyeful of the scream queen's ample assets, all hell busts out & breaks loose."
Pee-wee's Big Adventure,"The eccentric and childish Pee-wee Herman embarks on a big adventure when his beloved bicycle is stolen. Armed with information from a fortune-teller and a relentless obsession with his prized possession, Pee-wee encounters a host of odd characters and bizarre situations as he treks across the country to recover his bike."
Secret Weapons,"Hamilton plays a young Russian girl recruited to be a sex spy, seducing men and catching them in compromising situations so they can be blackmailed. The problems start when she falls in love with one of her targets, and must figure out how to avoid the constant surveillance and defect."
A Night in Heaven,"Faye Hanlon is a community-college professor with an emotionally depressed husband and an abundance of sexual frustration. Her sister drags her to a male strip-club for a girls-night out, where she discovers that one of the dancers is her failing student Rick Monroe, a.k.a. ""Ricky the Rocket"". A heated affair between teacher &amp; student ensues, as Faye struggles to reconcile her emotions and make consequential life choices: Continue her lustful sessions with the studly-but-shallow teen stripper? Or break it off with Ricky &amp; work to salvage her marriage to the loving-but-distant husband?"
Wet and Wild Summer,"A property developer wants to take over an Australian beach for a high rise resort. He sends his son to Australia to check out the situation, posing as an exchange lifeguard. He falls in love with a woman who owns the land his father needs for the development and finds himself sympathising with the locals."
The Blue Lagoon,"Two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. Soon, however, the cook dies and the young boy and girl are left on their own. Days become years and Emmeline and Richard make a home for themselves surrounded by exotic creatures and nature's beauty. But will they ever see civilization again?"
The Heist,An armored-car guard must convince the authorities he is innocent after he is forced to rob his own company.
Hoosiers,"High school basketball is king in small-town Indiana, and the 1954 Hickory Huskers are all hope and no talent. But their new coach -- abrasive, unlikable Norman Dale -- whips the team into shape ... while also inciting controversy."
The League of Gentlemen Are Behind You,"The League of Gentlemen bring their dark but brilliant humour to the stage in this ""alternative"" pantomime... they're behind you!"
The Great Train Robbery,"The clerk at the train station is assaulted and left tied by four men, then they rob the train threatening the operator. (They) take all the money and shoot a passenger when trying to run away. A little girl discovers the clerk tied and gives notice to the sheriff, who at once goes along with his men hunting the bandits."
Star Virgin,"The film is about a Star Virgin who lives with a robot in space and one day she starts to become aroused.  She starts to question the robot about sex so the robot shows her a series of vignettes involving sex.  The first is about a young couple who find themselves in the Garden of Eden.  The second is  a vampire tale as Dracula finds himself a new bride, The third follows a quarterback who gets hurt in the big game and is out cold so they take him into the locker room where two cheerleaders fuck him back to life. The fourth tale is about a special strip club where men may pay a price and gang bang the strippers.  The Star Virgin hears these stories and starts getting even more horny ..."
Land Raiders,"An outlaw committing a string of robberies and murders manages to blame the crimes on Apaches, bringing about an Indian war."
Perfect Lies,No overview found.
Shooting War,"A remarkable film that takes a special look at the first war to be truly reported and recorded by one of the more unsung heroes of World War II: the combat photographer. Through the unflinching eye of their camera's lenses, these courageous soldiers continually risked their lives in their brave attempts to capture history."
Control,"The story of Joy Division’s lead singer Ian Curtis, from his schoolboy days in 1973 to his suicide on the eve of the band's first American tour in 1980."
Amazon Women on the Moon,"Acclaimed director John Landis (Animal House, The Blues Brothers) presents this madcap send-up of late night TV, low-budget sci-fi films and canned-laughter-filled sitcoms packed with off-the-wall sketches that will have you in stitches. Centered around a television station which features a 1950s-style sci-fi movie interspersed with a series of wild commercials, wacky shorts and weird specials, this lampoon of contemporary life and pop culture skewers some of the silliest spectacles ever created in the name of entertainment. A truly outrageous look at the best of the worst that television has to offer."
All the Way In!,"Under takeover threat, the workers of a porn magazine harass and seduce each other. But their main attraction - and also stripper - buxom Candy Keen is too broken-hearted to join in. Will the new owner's identity make the difference?"
Heavenly Bodies!,"Taking a look at the connection that glamour models have to photography, a group of film makers follow a number of  glamour magazine photographers around, to discover the skill involved in getting ""magic"" to appear on the photos."
Challenge of the Gladiator,No overview found.
Acting on Impulse,"An erotic thriller actress becomes the prime suspect in the murder of a B-movie producer, leading her to hide out and engage in sexual thrills with a pair of innocents."
Man Push Cart,"Every night while the city sleeps, Ahmad, a former Pakistani rock star turned immigrant, drags his heavy cart along the streets of New York. And every morning, he sells coffee and donuts to a city he cannot call his own. One day, however, the pattern of this harsh existence is broken by a glimmer of hope for a better life."
King of California,"Charlie gets released from an insane asylum and moves in with Miranda, the young daughter he left behind. Charlie believes that there is treasure hidden beneath the local Costco, so he puts together a plan to unearth the loot. By convincing Miranda to quit her job at McDonald's and instead work at the wholesale store, he is able to obtain a key. Although Miranda is skeptical, she helps her father with his irrational quest."
Mudhoney,"In this Depression-era tale, Calef is traveling from Michigan to California and stops in Spooner, Missouri, where Lute hires him for odd jobs. Calef gets involved with Lute's niece, Hannah. But she is married to Sidney, a wife-beating drunk who hopes to inherit his uncle-in-law's money. Sidney and an eccentric preacher plot against Calef, who finds it difficult to conceal his mysterious past and his growing affection for Sidney's wife."
Motor Psycho,"A biker gang, led by a Vietnam veteran, rapes a veterinarian's wife. When the man decides to seek revenge and hunt down the perpetrators himself, he ends up joining forces with a Cajun woman whose husband they killed."
Vixen!,"Vixen lives in a Canadian mountain resort with her naive pilot husband. While he's away flying in tourists, she gets it on with practically everybody including a husband and his wife, and even her biker brother. She is openly racist, and she makes it clear that she won't do the wild thing with her brother's biker friend, who is black."
Beyond the Valley of the Dolls,"An all-female rock group finds fame, love, and drama when they move to LA in order to claim the lead singer’s inheritance."
Once,"A vacuum repairman moonlights as a street musician and hopes for his big break. One day a Czech immigrant, who earns a living selling flowers, approaches him with the news that she is also an aspiring singer-songwriter. The pair decide to collaborate, and the songs that they compose reflect the story of their blossoming love."
Supervixens,"Clint Ramsey has to leave his job working at Martin Bormann's gas station and flee after his wife is murdered by psycho cop Harry Sledge, who tries to pin the murder on Clint. Crossing America, Clint gets sexually harassed on all sides by various voluptuous nymphomaniacs, and it all ends in a literally explosive climax."
Mondo Topless,"Mondo Topless is a 1966 pseudo documentary directed by Russ Meyer, featuring Babette Bardot and Lorna Maitland among others."
The Desperate Women,The film is a cheesy but sincere plea for proper sex education--and against illegal abortion.
Inn of the Damned,"A sheriff investigates why the guests at a local hostelry check in, but never check out."
Summer City,"Four friends take a road trip to kick back, hit the pubs, and go surfing. Tension builds among the group between Sandy, a quiet young man who is angered by the obnoxious, womanizing Boo who seduces a teenaged girl while on their trip in one of his usual one night stands. Meanwhile, the girl's psychotic dad is also looking for Boo out of revenge for what he did to his daughter. Boo is in for a major wake up call."
Sher Mountain Killings Mystery,No overview found.
Scalps,"Silly group of college science students go an dig around in an indian burial ground for artifacts. Unfortunately, one of them becomes possessed by the evil spirit of Black Claw so he must therefore slaughter all of his friends."
Biohazard,"A group of skeptical government officials headed by General Randolph are brought to a remote laboratory for a demonstration in ""Psychic Materialization"", a successful side effect of an experimental drug. But the project scientists had warned that not enough testing had been completed to access safety concerns. In a freak accident during the demonstration to the politicians, a vicious creature is created! Unable to contain the monster, it unleashes unbelievable havoc & destruction against mankind! Reproducing itself at an alarming rate, and all known weapons seemingly powerless against the creature, the scientists are gravely concerned for the survival of mankind!"
The Tomb,An Egyptian princess rises from the dead and goes to California for the amulets she needs.
Lorna,"Lorna has been married to Jim for a year, but still hasn't been satisfied sexually. While Jim is working at the salt mine, she is raped by an escaped convict, but falls in lust with him. Meanwhile Jim's buddies are giving him a hard time about Lorna's supposed infidelity, not realizing how close to the mark they really are. Trouble starts when Jim gets home early from work because it's their anniversary."
"Cherry, Harry & Raquel!","Harry (a corrupt sheriff) and his Chicano deputy hunt an Apache who is about to go to the authorities with the news Harry is smuggling marijuana. Harry makes love to Raquel (a prostitute) and Cherry (a nurse). The women also has an erotic encounter between themselves. Harry's boss gets it off with Raquel and Cherry, too. Uschi Digard romps around the desert naked"
Liebe ist Geschmackssache,A director tries to get his porno musical off the ground.
Fanny Hill,"Cult filmmaker Russ Meyer takes on directorial duties in Zugsmith s adaptation of the notorious erotic classic Fanny Hill. Set in pre-Victorian London, young Fanny finds herself taken in by a madame at one of the city s most elite brothels. A strange mix of Zugsmith s surreal slapstick and Meyer s trademark buxom beauties and thoughtful satire, Fanny Hill is an over-the-top saga of low-rent thrills in high-brow settings."
The Seven Minutes,"The Seven Minutes is a steamy book written in 1969. To help with an upcoming election, a bookstore clerk is indicted for selling obscene material and most of the film centers about the trial. The defense attorneys need to find the mystery of the original publication of the book."
Common Law Cabin,"After stealing a fortune in unclaimed jewelry, ex-detective Barney Rickert arrives at a run-down dude ranch in Arizona to hide out. When the owner, Dewey Hoople, refuses to sell the land to Rickert, he proceeds to win over the female inhabitants by seducing them one by one which leads to one refusing his advances and a dangerous game played out in which Rickert ruthlessly sets out to get what he wants."
Good Morning... and Goodbye!,"Tales of eleven losers are told and interwoven. Burt can't satisfy Angel, so she seeks the arms of another man, who is caught by Angel in the arms of another woman. Angel ends up with Justin, who ends up with a co-worker's wife. As Angel and Burt argue, a sorceress watches, and eventually seduces Burt while Angel gets to know Ray, who had previously chased a blonde girl down on the coast. You get the idea."
Overkill,A Tokyo cop is sent to Los Angeles to help an LAPD detective break up a yakuza ring operating in the city.
Playboy: 101 Ways to Excite Your Lover,No overview found.
Sledgehammer,"A young boy murders his mother and her lover with a hammer. Ten years later, a wave of teenage murders plagues the same area."
Killer Workout,"Two years ago, a young woman named Valerie was burned after entering a tanning salon. Now, her twin sister, Rhonda runs a local gym where all of a sudden, people are being murdered."
Deadly Prey,"A group of sadistic mercenaries led by Col. John Hogan kidnap Michael Danton from his home, and set him loose on the grounds of their secret camp to be used as training for new recruits. Danton has been called the ""most perfect killer ever."" Now, he'll have to prove it again. This prey has become DEADLY!"
Born Killer,Two deranged and homicidal escaped convicts terrorize a group of teenagers engaged in a paint-ball war.
Possessed by the Night,"A horror writer buys an odd looking mutant embryo creature, pickled in a jar, from a shop in Chinatown, hoping it will be a creative inspiration for his work. Instead, the odd mutation provokes a rage of violence and lust to envelop the suburban villa where the writer lives with his wife and sexy secretary."
Center of the Web,An actor is wrongly taken as a professional killer by a band planning to murder the Governor. Then he is hired by the Security Dept. to try to unmask and to catch the leaders.
Man of the Year,"First-time director Dirk Shafer also penned this raucous ""mockumentary,"" a blend of fact and fiction that re-creates his 1992 reign as Playgirl magazine's Centerfold of the Year. When Shafer chooses to keep the fact that he's gay a secret from the magazine's editors, he finds himself living the ultimate lie -- and incapable of giving female readers what they really want. Will he succumb to his lover's pressures to come out of the closet?"
Baghead,"Four actors go to a cabin in the woods to write, direct, and act in a film that will jump-start their careers. Their idea is a horror film about a man with a bag over his head, but what happens when that man mysteriously shows up?"
Circuit,"John, a gay Illinois small town cop moves to Los Angeles, hoping to fit into a place more welcoming of his sexuality. He soon discovers the ""circuit,"" where he meets an insecure hustler, who draws John into drug abuse and illicit sex."
Hannah Takes the Stairs,"Hannah is a recent college graduate interning at a Chicago production company. She is crushing on two writers at work, Matt and Paul, who share an office and keep her entertained. Will a relationship with one of them disrupt the delicate balance of their friendship?"
Bounty Hunters 2: Hardball,"Incompatible fugitive recovery agents, the flighty Jersey Bellini (Michael Dudikoff) and his more serious-minded female partner, B.B. (Lisa Howard), have, for the last time, ticked off mobster Wald (Tony Curtis) by apprehending his rather inept henchmen just as they are about to commit a robbery or kill one of Wald's enemies. That's when Wald turns their fate over to the ruthless Crazy Carlos (Steve Bacic), with the intention of having Bellini and B.B. killed. But the hapless bounty hunters keep having good luck just when they need it most. ~ Buzz McClain, Rovi"
The Mummy Lives,"An Egyptian noble, sentenced to death for a forbidden affair, returns from the grave 3,000 years later and becomes obsessed with a woman whom he thinks is the reincarnation of his dead lover."
Princess of Thieves,"Sherwood forest has a courageous new hero - Gwyn, the daughter of Robin Hood. Possessing the cunning skills of her legendary father and the beauty and intelligence of her mother Maid Marian, Gwyn is anxious to follow in her father's footsteps. King Richard nears death and Robin Hood and his Merry Men are summoned to help bring Richard's son Philip to his rightful place on the throne before the evil Prince John can assume power. Robin Hood's life and that of the future King of England soon lies in Gwyn's hands when Robin is captured and sentenced to death."
Knight Moves,"A chess grandmaster is in a big tournament, and when his lover is found painted up and the blood drained out of her body he becomes a chief suspect. After he gets a call from the killer urging him to try and figure out the game, he cooperates with police and a psychologist to try and catch the killer, but doubts linger about the grandmaster's innocence as the string of grisly murders continues."
Champagne Charlie,No overview found.
Two for the Road,"The ten-year marriage of Mark and Joanna Wallace is on the rocks. In flashback they recall their first meeting, memorable moments in their courtship and early wedded life, their travels through Europe, their broken vow never to have children, and their increasing tensions that led to both of them having extra-marital affairs."
The Best of Sex and Violence,"Hosted by John Carradine, this tape is a compilation of scenes from and previews for various exploitation films."
Tom Jones,Tom loves Sophie and Sophie loves Tom. But Tom and Sophie are of differering classes. Can they find a way through the mayhem to be true to love?
"Red, White and Blue","A documentary about the hearings of President Nixon's Commission on Obscenity, featuring adult-film producer David F. Friedman (one of the producers of this film) testifying before Congress, and involved in the production of one of his films, ""Trader Hornee."""
Omnibus: François Truffaut,No overview found.
Trader Hornee,A private detective journeys to Africa to find a legenday white gorilla. The gorilla turns out to be an escaped Nazi war criminal.
Sexual Freedom in Denmark,"Starting as a documentary on the sexually liberated culture of late-Sixties Denmark, Sexual Freedom in Denmark winds up incorporating major elements of the marriage manual form and even manages to squeeze in a montage of beaver loops and erotic art. All narrated with earnest pronouncements concerning the social and psychological benefits of sexual liberation, the movie, is a kind of mondo film dotted with occasional glimpses of actual sex."
Torn Curtain,"During the Cold War, an American scientist appears to defect to East Germany as part of a cloak and dagger mission to find the formula for a resin solution, but the plan goes awry when his fiancee, unaware of his motivation, follows him across the border."
After Death,A woman goes back to the island where her parents were killed. They had been working on a cure for cancer and accidentally raised the dead by angering a voodoo priest. With the woman is a group of mercenaries and they meet up with some other researchers. They raise the dead again and all hell breaks loose
Famous T & A,A collection of nude and/or topless scenes from various films featuring actresses who were either famous at the time or who became famous later on.
Can I Do It Till I Need Glasses?,A comedy comprised of short sexually suggestive skits.
"Sappho, Darling","A pretty young girl named Sappho is, despite her boyfriend's best efforts, determined to remain a virgin until she marries. One day she picks up a beautiful, busty hitchhiker named Brigitte, and finds herself attracted to the sexy young blonde."
The Kill,"From the golden age of roughies, comes a shocking drive-in masterpiece, in which a hot young vixen is kidnapped and raped by a dangerous gang of heroine smugglers, who rape and kill anyone who gets in their way! Then a tough private detective is hired to track down the bastards! Rare grindhouse gem."
The Key to Reserva,"Finding an unfinished script written by Alfred Hitchcock himself, Martin Scorsese attempts to recreate it himself as Hitchcock would have."
De Stedeling,A man from the city walks around the country side. He tries to find out what farmers are hiding below the plastic belts on their territory.
The Sentinel,A secret service agent is framed as the mole in an assassination attempt on the president. He must clear his name and foil another assassination attempt while on the run from a relentless FBI agent.
Sweet Sweetback's Baadasssss Song,"After saving a Black Panther from some racist cops, a black male prostitute goes on the run from ""the man"" with the help of the ghetto community and some disillusioned Hells Angels."
National Lampoon's Christmas Vacation,"It's Christmastime, and the Griswolds are preparing for a family seasonal celebration. But things never run smoothly for Clark, his wife Ellen, and their two kids. Clark's continual bad luck is worsened by his obnoxious family guests, but he manages to keep going, knowing that his Christmas bonus is due soon."
